SMILES,logp
Cc1cccc(COC(=O)Nc2ccc(-c3cn[nH]c3)cc2OCCN2CCCC2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,5.87502
CCC(C)C1=C(C=CC=C1)OCCC[N]2C=CN=C2.O=C(O)C(=O)O,3.0213
CCc1ccc(C(=O)/C(=C(/S)NC2CC2)[n+]2ccc(CC)cc2)cc1,3.7897
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NC[C@H]1CCC[C@H]1O,3.161
COc1cc(OC)cc([C@@H](NC(=O)Cn2ccccc2=O)c2nccn2C)c1,1.5048
CN1CCC[C@@]2(CCN(C(=O)CN3CCNC(=O)C3)C2)C1=O,-1.1109
COc1ccc(Cl)cc1NC(=O)c1nn(C)cc1[N+](=O)[O-],2.2426
Cc1nn(-c2ccccc2)c(O)c1/C=[NH+]/Cc1ccncc1,0.98102
C=CCN1C(=O)C(C)(C)COc2ccc(NC(=O)C3(c4ccc(OC)cc4)CCOCC3)cc21,4.3197
CON(C)C(=O)c1cnn2c(C)cc(C)nc12,0.97954
NC(=O)[C@@H](NC(=O)CCCc1cccs1)c1ccccc1,2.4136
COc1cccc(CN2CCC[NH+](CC(=O)Nc3ccc(F)cc3)S2(=O)=O)c1,0.8084
Cc1ccc(-c2nc3ccc(C)c(C)c3[nH]2)nc1,3.55016
Cc1n[nH]c(SCC(=O)Nc2cccc(C#Cc3ccccn3)c2)n1,2.63872
COC(=O)c1cncc(C(=O)Nc2cccc(COC(C)C)c2)c1,3.0455
Cc1ccc(C)c(Oc2ccc(CNC(=O)N3CCCSCC3)cn2)c1,4.13924
CC[NH2+][C@@]1(C(=O)[O-])CCC[C@H](Oc2ccc(CC)cc2)C1,0.6424
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3)cc2C[C@H]1C(=O)NCC[NH+](C)C1CCCCC1,0.7123
C=CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c2ccccc2OC)C1=O,3.0474
COc1ccc(-c2noc3ncnc(N4CCC[C@H](C(=O)[O-])C4)c23)cc1,1.2597
N#Cc1cc(NC(=O)Cc2ccccc2Cl)ccc1N1CCC(O)CC1,3.35398
Cc1ncc(-c2ccc(S(=O)(=O)NC3CCCCCC3)s2)o1,3.71262
Cc1ccc(NC(=O)c2ccc(F)cc2F)cc1S(=O)(=O)Nc1ccc(Cl)cc1,4.97972
CNC(=O)[C@@H]1CCC[NH+]1Cc1ccc(C)c(F)c1,0.42742
CN1C(=O)N[C@@H](c2cccc([N+](=O)[O-])c2)C2=C1CN(c1ccc(F)cc1)C2=O,2.7309
Cc1cc(CC(=O)N[C@H](c2ccc(F)cc2)C2CCC2)no1,3.32222
Cc1cc(N2CCN(CC(=O)NC3CC3)CC2)nc(-c2ccc([N+](=O)[O-])cc2)n1,1.76082
Cc1cc(C(=O)N2CCN(C(=O)N[C@H]3CC(=O)N(C4CC4)C3)CC2)c(C)o1,1.12714
O=c1c2c3nc4ccccc4nc3n(CCC3=CCCCC3)c2ncn1C[C@H]1CCCO1,4.3639
CC[NH+](C/C=C/c1ccc(C#N)cc1)C[C@H](C)C#N,1.63596
COc1c(Cl)cc(C[NH2+][C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1Cl,1.9079
COc1ccccc1[C@H](C)NC(=O)C[C@H]1C[NH2+]CCO1,0.2247
Cc1ccc(NC(=O)C(=O)NCCc2ccccc2F)c(C)c1,2.73994
CC(C)(C)OC(=O)N[C@H]1CCN(c2cc(-c3cccs3)n[nH]2)C1,3.2416
CC[C@H](C)C[NH+]1CCCC[C@@H]1C(=O)NC(C)(C)C,1.3846
COC(=O)c1c(S(=O)(=O)NC2CC2)sc2c1CCN(Cc1ccc3ccccc3c1)C2,3.6869
Cc1cc(C)cc(NC(=O)[C@@H](Sc2nnnn2C2CC2)c2ccccc2)c1,4.09694
C=CCn1c([S-])nnc1-c1sc(NC(=O)c2cccc(NC(C)=O)c2)nc1C,3.01252
O=C(CNc1nc(C2CC2)no1)N1CCc2sccc2C1,2.0053
Cc1ccccc1NC(=O)NCCn1c([N+](=O)[O-])cnc1C,2.22984
C[C@H](NC=C(C#N)C#N)c1ccc(-n2cncn2)cc1,1.84896
CN1C[C@H](C(=O)NC[C@H]2CCC(C)(C)c3ccccc32)CC1=O,2.4361
CC(C)n1cccc1C(=O)N[C@H]1CCc2cc(N)ccc21,3.0685
CCN1C(=O)C(C#N)=C(C)/C(=C\Nc2ccc([N+](=O)[O-])cc2)C1=O,2.11938
O=C(Nc1ccnn1Cc1cccc(Cl)c1)C1CCN(S(=O)(=O)c2ccccc2F)CC1,3.7633
COc1cc([C@@H]2N[C@H](C(=O)[O-])CS2)ccc1OC(=O)c1ccccc1,1.3679
CCOc1ccc(C2=CCN(C(=O)c3ccccc3F)CC2)cc1,4.1539
CC(=O)N1CC[C@@H]([NH2+][C@@H](C)CSCC(C)C)C1,0.9483
CCO[P@](=O)(CC(=O)[O-])c1ccccc1,0.3764
O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCC[C@H]1C1CCCC1,3.0369
O=C(/C=C/SCc1ccco1)Nc1cccc(N2CCCC2=O)c1,3.792
CC(=O)c1c(C)[nH]c(C(=O)OCC(=O)N2C[C@H](C)C[C@@H](C)C2)c1C,2.49544
Cc1ccc(C(=O)N2CCC[C@@H](C(=O)N(C)CC(=O)NC(C)C)C2)cc1,1.83022
C[C@@H](C#N)Sc1nnc(C23CC4CC(CC(C4)C2)C3)o1,3.54158
CC1(C)CCC[C@H]1n1c(N)[nH+]c2ccccc21,2.7888
CCOc1ccc(C[NH+]2CCS[C@H]3COCC[C@@H]32)cc1OC,1.3831
COc1cc(OC)c([C@@H](C)[NH2+]C[C@H](O)C2CCOCC2)cc1Cl,1.7691
COC(C[C@@](C)(O)C[C@@H]1CCCN(S(C)(=O)=O)C1)OC,0.8081
C=CCSc1nnc(C2CCOCC2)n1N,1.164
O=C(Nc1c[nH]c2ccccc12)N1CCCC[C@@H]1CCO,2.9367
Cc1nc(-c2ccc(-c3noc(C4CC4)n3)cc2)cs1,4.04592
C[C@H]1CCCCN1C(=O)[C@@H](C)NC(=O)C(=O)Nc1ccnn1C(C)(C)C,1.4823
c1cc2c(cc1N[C@@H]1CCOC3(CCC3)C1)CCC2,3.6889
O=C(Nc1ccc(CNC(=O)N2CCCCCCC2)cc1)c1ccco1,4.0076
CNC(=O)[C@H]1CCCCN1c1cccc(F)c1C(N)=S,1.5648
O=C(NCc1nnc2n1CCC2)c1cc(-c2ccccc2)[nH]n1,1.5444
Cc1nnc(-c2cc(CC(C)C)n(-c3cccc(C(=O)N[C@@H]4C[C@@H](C)CC(C)(C)C4)c3)n2)o1,5.37382
COc1cccc([C@@H]2CC(=O)C3=C(C2)NC(=O)C[C@H]3c2ccc(OC)c(OC)c2OC)c1,3.7253
C[NH2+]Cc1ccc(-c2cc(C)ccc2F)s1,2.55582
CCC[C@H](NC(N)=O)C(=O)NC[C@@H]1CCCO1,0.1186
COc1cc(F)cc(CNC(=O)[C@H]2CCCN2C(=O)Cc2ccccc2)c1,2.6842
CCc1cc(C#N)c(NC(=O)CCC(=O)N(CC)CC)s1,2.76928
C#Cc1cccc(NC(=O)C[NH+](C)[C@H](C)c2nnc(-c3ccccc3)o2)c1,1.9323
CCOC[C@H](O)[C@](C)(CC)[NH+]1CCCC1,0.2312
C[NH+](C)Cc1cccc(CNC(=O)NC[C@H](O)c2ccc(F)cc2)c1,1.003
Cc1ccsc1C(=O)NCCNC(=O)c1ccco1,1.80932
COC(=O)[C@H](C)N(Cc1ccccc1)C(=O)Cc1ccon1,1.8074
C/C=C(/C)C(=O)NC[C@H]1C[C@@]12CCc1ccccc12,2.9729
O=C1Nc2ccccc2Oc2cc([N+](=O)[O-])cc(Oc3ccc(Cl)cc3)c21,5.3985
CCc1onc(C)c1NC(=O)CCCC(C)(C)C,3.70032
COC(=O)C(C)(C)COc1ccc2c(c1)OC[C@@H]2[NH3+],0.94
CC#CCCC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O,3.204
Cc1nc(C)c(S(=O)(=O)/N=C(\[O-])C[C@H]2CCCO2)s1,0.77654
CCC(=O)N[C@H](CCSC)C(=O)Nc1ccc2[nH]c(C)cc2c1,3.06272
COCC[NH+](C)Cc1c(C)cc(C)c(C(C)=O)c1C,1.47556
Cc1cscc1CNC(=O)N[C@@H](C)c1nc(C(=O)[O-])cs1,1.43692
CNC(=O)NCC(=O)NC[C@H](c1cccnc1)C(C)C,0.8664
COc1cccc(C(=O)N2CCC[C@H]2[C@H]2CCC[C@@H]2O)c1,2.4608
COc1ccc2c(c1)[C@H]([NH2+][C@H](C)CCN1CCOCC1)CCCO2,1.5831
COc1cccc(OCC(=O)N2CCN(c3nc4ccc(S(C)(=O)=O)cc4s3)CC2)c1,2.436
COc1cccc(-c2nc(C(=O)O[C@@H](C)CNC(C)=O)c(C)[nH]2)c1,2.07512
CCO[C@H]1C[C@@H]1C(=O)Nc1ccc(Sc2nncs2)c(Cl)c1,3.7062
Cc1ccc(N(CC(=O)N2CCCC[C@H]2C)S(=O)(=O)c2c(C)nn(C)c2C)cc1,2.94166
COc1ccc(C(=O)Nc2nc(CC(=O)Nc3ccc(N(C)C)cc3)cs2)cc1,3.6512
O=c1c2ccccc2sn1-c1ncc(Br)s1,3.2712
Cc1ocnc1CNC(=O)N(C)Cc1ccc(OC(F)F)cc1,2.92602
COc1cc(Cl)c(C)cc1NC(=O)C(=O)NCc1ccccc1C[NH+](C)C,1.55642
C[C@@H]([NH3+])c1cccc(Oc2cc(Br)ccc2Cl)c1,4.1977
CC(C)NS(=O)(=O)c1cccc(C(=O)NCc2ccco2)c1,1.8963
CN(Cc1ncnn1C)C(=O)CSCc1ccccn1,1.1019
