SMILES,score
Cc1cccc(COC(=O)Nc2ccc(-c3cn[nH]c3)cc2OCCN2CCCC2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,2.978505049769262
CCC(C)C1=C(C=CC=C1)OCCC[N]2C=CN=C2.O=C(O)C(=O)O,0.35198008204428
CCc1ccc(C(=O)/C(=C(/S)NC2CC2)[n+]2ccc(CC)cc2)cc1,1.014510522
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NC[C@H]1CCC[C@H]1O,0.089502102
COc1cc(OC)cc([C@@H](NC(=O)Cn2ccccc2=O)c2nccn2C)c1,-1.33520896
CN1CCC[C@@]2(CCN(C(=O)CN3CCNC(=O)C3)C2)C1=O,-4.716068457
COc1ccc(Cl)cc1NC(=O)c1nn(C)cc1[N+](=O)[O-],0.109935327
Cc1nn(-c2ccccc2)c(O)c1/C=[NH+]/Cc1ccncc1,-2.136619223
C=CCN1C(=O)C(C)(C)COc2ccc(NC(=O)C3(c4ccc(OC)cc4)CCOCC3)cc21,1.574910254
CON(C)C(=O)c1cnn2c(C)cc(C)nc12,-1.568307184
NC(=O)[C@@H](NC(=O)CCCc1cccs1)c1ccccc1,-0.031143614
COc1cccc(CN2CCC[NH+](CC(=O)Nc3ccc(F)cc3)S2(=O)=O)c1,-2.737911784
Cc1ccc(-c2nc3ccc(C)c(C)c3[nH]2)nc1,1.207643217
Cc1n[nH]c(SCC(=O)Nc2cccc(C#Cc3ccccn3)c2)n1,-0.046296252
COC(=O)c1cncc(C(=O)Nc2cccc(COC(C)C)c2)c1,1.00130715
Cc1ccc(C)c(Oc2ccc(CNC(=O)N3CCCSCC3)cn2)c1,1.769344664
CC[NH2+][C@@]1(C(=O)[O-])CCC[C@H](Oc2ccc(CC)cc2)C1,-3.523151538
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3)cc2C[C@H]1C(=O)NCC[NH+](C)C1CCCCC1,-3.276779408
C=CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c2ccccc2OC)C1=O,-0.240167863
COc1ccc(-c2noc3ncnc(N4CCC[C@H](C(=O)[O-])C4)c23)cc1,-1.893174099
N#Cc1cc(NC(=O)Cc2ccccc2Cl)ccc1N1CCC(O)CC1,1.180194377
Cc1ncc(-c2ccc(S(=O)(=O)NC3CCCCCC3)s2)o1,1.198896643
Cc1ccc(NC(=O)c2ccc(F)cc2F)cc1S(=O)(=O)Nc1ccc(Cl)cc1,3.032271232
CNC(=O)[C@@H]1CCC[NH+]1Cc1ccc(C)c(F)c1,-3.963918086
CN1C(=O)N[C@@H](c2cccc([N+](=O)[O-])c2)C2=C1CN(c1ccc(F)cc1)C2=O,-0.225172154
Cc1cc(CC(=O)N[C@H](c2ccc(F)cc2)C2CCC2)no1,0.657088361
Cc1cc(N2CCN(CC(=O)NC3CC3)CC2)nc(-c2ccc([N+](=O)[O-])cc2)n1,-0.488749987
Cc1cc(C(=O)N2CCN(C(=O)N[C@H]3CC(=O)N(C4CC4)C3)CC2)c(C)o1,-1.794585033
O=c1c2c3nc4ccccc4nc3n(CCC3=CCCCC3)c2ncn1C[C@H]1CCCO1,1.106639883
CC[NH+](C/C=C/c1ccc(C#N)cc1)C[C@H](C)C#N,-2.72697875
COc1c(Cl)cc(C[NH2+][C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1Cl,-1.817468177
COc1ccccc1[C@H](C)NC(=O)C[C@H]1C[NH2+]CCO1,-3.588097047
Cc1ccc(NC(=O)C(=O)NCCc2ccccc2F)c(C)c1,0.913186044
CC(C)(C)OC(=O)N[C@H]1CCN(c2cc(-c3cccs3)n[nH]2)C1,0.013574908
CC[C@H](C)C[NH+]1CCCC[C@@H]1C(=O)NC(C)(C)C,-3.402467722
COC(=O)c1c(S(=O)(=O)NC2CC2)sc2c1CCN(Cc1ccc3ccccc3c1)C2,1.201373394
Cc1cc(C)cc(NC(=O)[C@@H](Sc2nnnn2C2CC2)c2ccccc2)c1,1.388461417
C=CCn1c([S-])nnc1-c1sc(NC(=O)c2cccc(NC(C)=O)c2)nc1C,0.069060976
O=C(CNc1nc(C2CC2)no1)N1CCc2sccc2C1,-0.776130253
Cc1ccccc1NC(=O)NCCn1c([N+](=O)[O-])cnc1C,-0.028472512
C[C@H](NC=C(C#N)C#N)c1ccc(-n2cncn2)cc1,-1.428595708
CN1C[C@H](C(=O)NC[C@H]2CCC(C)(C)c3ccccc32)CC1=O,-0.823312472
CC(C)n1cccc1C(=O)N[C@H]1CCc2cc(N)ccc21,0.181217976
CCN1C(=O)C(C#N)=C(C)/C(=C\Nc2ccc([N+](=O)[O-])cc2)C1=O,-0.381687124
O=C(Nc1ccnn1Cc1cccc(Cl)c1)C1CCN(S(=O)(=O)c2ccccc2F)CC1,1.466878748
COc1cc([C@@H]2N[C@H](C(=O)[O-])CS2)ccc1OC(=O)c1ccccc1,-1.905611868
CCOc1ccc(C2=CCN(C(=O)c3ccccc3F)CC2)cc1,2.153553484
CC(=O)N1CC[C@@H]([NH2+][C@@H](C)CSCC(C)C)C1,-3.535374272
CCO[P@](=O)(CC(=O)[O-])c1ccccc1,-3.133793788
O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCC[C@H]1C1CCCC1,0.262289845
O=C(/C=C/SCc1ccco1)Nc1cccc(N2CCCC2=O)c1,1.207148734
CC(=O)c1c(C)[nH]c(C(=O)OCC(=O)N2C[C@H](C)C[C@@H](C)C2)c1C,-0.573012859
Cc1ccc(C(=O)N2CCC[C@@H](C(=O)N(C)CC(=O)NC(C)C)C2)cc1,-0.662643438
C[C@@H](C#N)Sc1nnc(C23CC4CC(CC(C4)C2)C3)o1,-1.035316432
CC1(C)CCC[C@H]1n1c(N)[nH+]c2ccccc21,-1.363166768
CCOc1ccc(C[NH+]2CCS[C@H]3COCC[C@@H]32)cc1OC,-3.131022047
COc1cc(OC)c([C@@H](C)[NH2+]C[C@H](O)C2CCOCC2)cc1Cl,-2.191884106
COC(C[C@@](C)(O)C[C@@H]1CCCN(S(C)(=O)=O)C1)OC,-2.861796168
C=CCSc1nnc(C2CCOCC2)n1N,-1.661013358
O=C(Nc1c[nH]c2ccccc12)N1CCCC[C@@H]1CCO,0.261902615
Cc1nc(-c2ccc(-c3noc(C4CC4)n3)cc2)cs1,1.912700226
C[C@H]1CCCCN1C(=O)[C@@H](C)NC(=O)C(=O)Nc1ccnn1C(C)(C)C,-1.936204414
c1cc2c(cc1N[C@@H]1CCOC3(CCC3)C1)CCC2,0.325838871
O=C(Nc1ccc(CNC(=O)N2CCCCCCC2)cc1)c1ccco1,2.076036098
CNC(=O)[C@H]1CCCCN1c1cccc(F)c1C(N)=S,-1.26437551
O=C(NCc1nnc2n1CCC2)c1cc(-c2ccccc2)[nH]n1,-0.832471447
Cc1nnc(-c2cc(CC(C)C)n(-c3cccc(C(=O)N[C@@H]4C[C@@H](C)CC(C)(C)C4)c3)n2)o1,1.825655712
COc1cccc([C@@H]2CC(=O)C3=C(C2)NC(=O)C[C@H]3c2ccc(OC)c(OC)c2OC)c1,0.498859597
C[NH2+]Cc1ccc(-c2cc(C)ccc2F)s1,-0.572811552
CCC[C@H](NC(N)=O)C(=O)NC[C@@H]1CCCO1,-2.750759841
COc1cc(F)cc(CNC(=O)[C@H]2CCCN2C(=O)Cc2ccccc2)c1,0.257023115
CCc1cc(C#N)c(NC(=O)CCC(=O)N(CC)CC)s1,0.275728687
C#Cc1cccc(NC(=O)C[NH+](C)[C@H](C)c2nnc(-c3ccccc3)o2)c1,-1.846997449
CCOC[C@H](O)[C@](C)(CC)[NH+]1CCCC1,-4.896705513
C[NH+](C)Cc1cccc(CNC(=O)NC[C@H](O)c2ccc(F)cc2)c1,-2.23879101
Cc1ccsc1C(=O)NCCNC(=O)c1ccco1,-0.305262277
COC(=O)[C@H](C)N(Cc1ccccc1)C(=O)Cc1ccon1,-1.044654716
C/C=C(/C)C(=O)NC[C@H]1C[C@@]12CCc1ccccc12,-0.968019906
O=C1Nc2ccccc2Oc2cc([N+](=O)[O-])cc(Oc3ccc(Cl)cc3)c21,2.997553659
CCc1onc(C)c1NC(=O)CCCC(C)(C)C,1.098719959
COC(=O)C(C)(C)COc1ccc2c(c1)OC[C@@H]2[NH3+],-2.636525387
CC#CCCC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O,0.905040047
Cc1nc(C)c(S(=O)(=O)/N=C(\[O-])C[C@H]2CCCO2)s1,-3.036448405
CCC(=O)N[C@H](CCSC)C(=O)Nc1ccc2[nH]c(C)cc2c1,0.330593743
COCC[NH+](C)Cc1c(C)cc(C)c(C(C)=O)c1C,-2.479543091
Cc1cscc1CNC(=O)N[C@@H](C)c1nc(C(=O)[O-])cs1,-2.191538628
CNC(=O)NCC(=O)NC[C@H](c1cccnc1)C(C)C,-1.928716489
COc1cccc(C(=O)N2CCC[C@H]2[C@H]2CCC[C@@H]2O)c1,-0.541585916
COc1ccc2c(c1)[C@H]([NH2+][C@H](C)CCN1CCOCC1)CCCO2,-2.206030146
COc1cccc(OCC(=O)N2CCN(c3nc4ccc(S(C)(=O)=O)cc4s3)CC2)c1,0.190603464
COc1cccc(-c2nc(C(=O)O[C@@H](C)CNC(C)=O)c(C)[nH]2)c1,-0.79450049
CCO[C@H]1C[C@@H]1C(=O)Nc1ccc(Sc2nncs2)c(Cl)c1,0.260697763
Cc1ccc(N(CC(=O)N2CCCC[C@H]2C)S(=O)(=O)c2c(C)nn(C)c2C)cc1,0.068893371
COc1ccc(C(=O)Nc2nc(CC(=O)Nc3ccc(N(C)C)cc3)cs2)cc1,1.667550463
O=c1c2ccccc2sn1-c1ncc(Br)s1,0.417952528
Cc1ocnc1CNC(=O)N(C)Cc1ccc(OC(F)F)cc1,0.32323239
COc1cc(Cl)c(C)cc1NC(=O)C(=O)NCc1ccccc1C[NH+](C)C,-1.314155026
C[C@@H]([NH3+])c1cccc(Oc2cc(Br)ccc2Cl)c1,1.232550734
CC(C)NS(=O)(=O)c1cccc(C(=O)NCc2ccco2)c1,-0.065316674
CN(Cc1ncnn1C)C(=O)CSCc1ccccn1,-1.427183407
